prefix,target,model,mode,loss,Baseline-prev,Baseline-horizon,horizon,return_no_interest,return_interest,set,is_better
BA,log_return_5,NBEATSx,news,0.93,0.96,0.91,5,-0.0018304087483719104,-0.005846404283907045,test,1
BA,log_return_5,NHITS,news,0.92,0.96,0.96,2,,,test,0
BA,log_return_5,NHITS,news,0.72,0.96,0.91,5,0.007161183515923441,0.003145161962071292,test,0
BA,log_return_5,TFT,news,0.95,0.96,0.96,2,,,test,0
BA,log_return_5,TFT,news,0.92,0.96,0.91,5,0.0007063490140030833,-0.003308577241463935,test,1
BA,log_return_5,NBEATSx,financial_and_news,0.93,0.96,0.96,2,,,test,0
BA,log_return_5,NBEATSx,financial_and_news,0.89,0.96,0.91,5,0.005039570239876935,0.001012574479323857,test,0
BA,log_return_5,NHITS,financial_and_news,0.94,0.96,0.96,2,,,test,0
BA,log_return_5,NHITS,financial_and_news,0.87,0.96,0.91,5,0.0016429764166300317,-0.0023792461003492664,test,0
BA,log_return_5,TFT,financial_and_news,0.97,0.96,0.96,2,,,test,1
BA,log_return_5,TFT,financial_and_news,0.92,0.96,0.91,5,-0.0003868038567716713,-0.004398895051111046,test,1
TSLA,Close,NBEATSx,financial,122.33,64.96,126.24,2,,,val,1
TSLA,Close,NBEATSx,financial,189.6,64.96,188.62,5,,,val,0
TSLA,Close,NHITS,financial,121.0,64.96,126.24,2,,,val,1
TSLA,Close,NHITS,financial,146.63,64.96,188.62,5,,,val,1
TSLA,Close,TFT,financial,127.17,64.96,126.24,2,,,val,0
TSLA,Close,TFT,financial,144.38,64.96,188.62,5,,,val,1
TSLA,Close,NBEATSx,news,124.14,64.96,126.24,2,,,val,1
TSLA,Close,NBEATSx,news,168.47,64.96,188.62,5,,,val,1
TSLA,Close,NHITS,news,121.87,64.96,126.24,2,,,val,1
TSLA,Close,NHITS,news,168.94,64.96,188.62,5,,,val,1
TSLA,Close,TFT,news,129.39,64.96,126.24,2,,,val,0
TSLA,Close,TFT,news,155.87,64.96,188.62,5,,,val,1
TSLA,Close,NBEATSx,financial_and_news,111.23,64.96,126.24,2,,,val,1
TSLA,Close,NBEATSx,financial_and_news,163.42,64.96,188.62,5,,,val,1
TSLA,Close,NHITS,financial_and_news,120.79,64.96,126.24,2,,,val,1
TSLA,Close,NHITS,financial_and_news,164.88,64.96,188.62,5,,,val,1
TSLA,Close,TFT,financial_and_news,125.44,64.96,126.24,2,,,val,1
TSLA,Close,TFT,financial_and_news,150.23,64.96,188.62,5,,,val,1
TSLA,Close,NBEATSx,financial,82.44,56.06,56.06,2,,,test,0
TSLA,Close,NBEATSx,financial,216.15,56.06,188.5,5,,,test,0
TSLA,Close,NHITS,financial,84.08,56.06,56.06,2,,,test,0
TSLA,Close,NHITS,financial,227.38,56.06,188.5,5,,,test,0
TSLA,Close,TFT,financial,91.44,56.06,56.06,2,,,test,0
TSLA,Close,TFT,financial,226.98,56.06,188.5,5,,,test,0
TSLA,Close,NBEATSx,news,85.57,56.06,56.06,2,,,test,0
TSLA,Close,NBEATSx,news,182.45,56.06,188.5,5,,,test,1
TSLA,Close,NHITS,news,83.23,56.06,56.06,2,,,test,0
TSLA,Close,NHITS,news,179.16,56.06,188.5,5,,,test,1
TSLA,Close,TFT,news,126.7,56.06,56.06,2,,,test,0
TSLA,Close,TFT,news,198.95,56.06,188.5,5,,,test,0
TSLA,Close,NBEATSx,financial_and_news,87.55,56.06,56.06,2,,,test,0
TSLA,Close,NBEATSx,financial_and_news,182.81,56.06,188.5,5,,,test,1
TSLA,Close,NHITS,financial_and_news,83.19,56.06,56.06,2,,,test,0
TSLA,Close,NHITS,financial_and_news,195.3,56.06,188.5,5,,,test,0
TSLA,Close,TFT,financial_and_news,105.5,56.06,56.06,2,,,test,0
TSLA,Close,TFT,financial_and_news,234.17,56.06,188.5,5,,,test,0
TSLA,log_return_1,NBEATSx,financial,0.75,0.62,0.63,2,,,val,1
TSLA,log_return_1,NBEATSx,financial,0.61,0.62,0.63,5,,,val,0
TSLA,log_return_1,NHITS,financial,0.66,0.62,0.63,2,,,val,1
TSLA,log_return_1,NHITS,financial,0.77,0.62,0.63,5,,,val,1
TSLA,log_return_1,TFT,financial,0.69,0.62,0.63,2,,,val,1
TSLA,log_return_1,TFT,financial,0.73,0.62,0.63,5,,,val,1
TSLA,log_return_1,NBEATSx,news,0.71,0.62,0.63,2,,,val,1
TSLA,log_return_1,NBEATSx,news,0.6,0.62,0.63,5,,,val,0
