,timestamp,open,high,low,close,volume
2975,2011-12-12,193.64,193.9,191.22,192.18,3796100
2976,2011-12-09,192.91,194.87,192.4,194.56,4847900
2977,2011-12-08,192.48,193.8,191.07,191.58,4369000
2978,2011-12-07,191.99,194.9,191.28,194.05,5081700
2979,2011-12-06,190.65,193.53,190.32,192.94,4144900
2980,2011-12-05,191.18,193.61,190.38,190.84,5699400
2981,2011-12-02,189.92,191.33,189.45,189.66,4962200
2982,2011-12-01,187.01,189.99,186.77,189.45,4858800
2983,2011-11-30,184.57,188.35,184.21,188.0,7836800
2984,2011-11-29,182.02,183.31,180.84,180.94,3661600
2985,2011-11-28,182.71,182.93,180.67,182.21,4524200
2986,2011-11-25,178.01,179.56,177.06,177.06,2232800
2987,2011-11-23,180.67,181.49,177.52,177.95,4800900
2988,2011-11-22,182.22,182.98,180.29,181.31,4178600
2989,2011-11-21,183.37,183.96,180.0,181.48,5145100
2990,2011-11-18,186.71,186.97,184.66,185.24,4440900
2991,2011-11-17,186.81,188.83,183.39,185.73,5840500
2992,2011-11-16,187.82,189.9,186.3,186.62,4616800
2993,2011-11-15,187.49,189.97,185.64,188.75,4585300
2994,2011-11-14,189.17,189.84,186.85,187.35,6038600
2995,2011-11-11,185.27,187.83,185.14,187.38,3665300
2996,2011-11-10,183.58,184.77,181.87,183.35,3881600
2997,2011-11-09,184.2,185.24,181.16,182.24,5494800
2998,2011-11-08,187.48,187.88,185.51,187.25,4330600
2999,2011-11-07,186.22,187.73,184.75,187.32,3530800
3000,2011-11-04,186.27,187.14,184.74,186.38,3237600
3001,2011-11-03,185.13,187.78,184.02,187.3,4953500
3002,2011-11-02,184.0,185.25,183.03,183.92,4136600
3003,2011-11-01,181.55,183.26,180.74,181.35,5881200
3004,2011-10-31,185.59,186.91,184.63,184.63,4710000
3005,2011-10-28,185.57,188.07,185.28,187.45,5009800
3006,2011-10-27,184.99,187.0,183.18,186.34,7057800
3007,2011-10-26,181.74,182.28,179.03,181.97,5387700
3008,2011-10-25,181.66,182.97,180.01,180.36,5373100
3009,2011-10-24,181.51,183.39,180.62,182.25,5890600
3010,2011-10-21,179.11,181.67,178.75,181.63,8054200
3011,2011-10-20,178.13,179.24,176.17,177.25,7513800
3012,2011-10-19,179.68,179.81,177.01,177.39,6708300
3013,2011-10-18,178.0,179.38,176.25,178.9,15729400
3014,2011-10-17,189.71,190.16,185.9,186.59,8790300
3015,2011-10-14,188.19,190.53,187.7314,190.53,5368200
3016,2011-10-13,184.97,187.5,184.5,186.82,4399200
3017,2011-10-12,186.08,188.0,185.65,186.12,5338200
3018,2011-10-11,184.59,186.0,184.11,185.0,5330500
3019,2011-10-10,183.0,186.63,182.9,186.62,5784800
3020,2011-10-07,182.32,183.72,181.64,182.39,6842600
3021,2011-10-06,176.81,181.99,175.66,181.69,7180900
3022,2011-10-05,174.57,177.2961,172.68,176.85,5851700
3023,2011-10-04,171.54,175.07,168.88,174.74,9200000
3024,2011-10-03,174.36,177.92,173.04,173.29,9042600
3025,2011-09-30,176.01,178.27,174.75,174.87,7807400
3026,2011-09-29,179.69,180.91,175.53,179.17,6944300
3027,2011-09-28,177.97,180.75,177.08,177.55,7732200
3028,2011-09-27,176.82,179.62,176.43,177.71,7638800
3029,2011-09-26,170.96,174.7,169.86,174.51,6745700
3030,2011-09-23,166.99,169.54,165.76,169.34,5586600
3031,2011-09-22,168.33,169.97,166.5,168.62,8195600
3032,2011-09-21,175.0,177.67,172.62,173.02,7043100
3033,2011-09-20,173.57,177.43,172.7,174.72,6209600
3034,2011-09-19,169.5,173.87,169.43,173.13,4755600
3035,2011-09-16,171.33,172.99,169.74,172.99,11048100
3036,2011-09-15,168.64,170.16,167.23,170.09,5464400
3037,2011-09-14,164.01,169.66,161.99,167.24,6980700
3038,2011-09-13,163.64,163.92,161.54,163.43,4723800
3039,2011-09-12,159.64,162.44,158.76,162.42,5247200
3040,2011-09-09,164.57,165.19,160.81,161.37,6743900
3041,2011-09-08,167.0,169.58,165.1,165.25,6027200
3042,2011-09-07,167.28,167.9,166.16,167.31,6796600
3043,2011-09-06,163.06,165.55,162.2,165.11,5761200
3044,2011-09-02,167.69,168.93,166.0,166.98,4979100
3045,2011-09-01,172.71,173.68,170.12,170.33,5463900
3046,2011-08-31,173.29,173.72,170.71,171.91,6074200
3047,2011-08-30,172.06,173.51,170.88,172.51,4477700
3048,2011-08-29,170.58,172.72,170.36,172.62,5293400
3049,2011-08-26,164.85,169.33,163.28,169.14,6438200
3050,2011-08-25,167.52,168.53,164.85,165.58,6751600
3051,2011-08-24,164.13,166.83,163.35,166.76,6427000
3052,2011-08-23,160.65,164.59,159.53,164.32,6923300
3053,2011-08-22,161.35,161.68,157.62,158.98,7249100
3054,2011-08-19,162.17,163.94,157.13,157.54,14068600
3055,2011-08-18,166.32,166.46,160.16,163.83,15082600
3056,2011-08-17,171.57,172.99,169.89,171.48,5129700
3057,2011-08-16,172.19,172.19,169.0,171.24,5585400
3058,2011-08-15,171.32,174.0,170.39,172.99,7645400
3059,2011-08-12,168.5,169.38,165.83,168.2,5187000
3060,2011-08-11,164.1,168.77,162.94,166.73,9175600
3061,2011-08-10,168.18,169.23,161.85,162.54,13993600
3062,2011-08-09,167.46,171.05,162.0,170.61,12517600
3063,2011-08-08,168.83,172.61,166.0,166.22,15804900
3064,2011-08-05,172.1,174.22,166.52,172.98,11871800
3065,2011-08-04,176.5,177.92,171.18,171.48,11022300
3066,2011-08-03,177.67,179.23,175.41,178.83,6722000
3067,2011-08-02,179.95,182.29,177.86,178.05,5770400
3068,2011-08-01,182.6,183.69,178.5,180.75,5842700
3069,2011-07-29,180.26,183.43,179.73,181.85,6665600
3070,2011-07-28,181.06,183.27,180.88,181.8,4478800
3071,2011-07-27,182.01,182.91,180.93,181.35,5806800
3072,2011-07-26,182.94,184.05,182.65,182.93,4356200
3073,2011-07-25,183.89,184.96,183.28,183.7,4987000
3074,2011-07-22,184.64,185.63,184.26,185.18,4516100
3075,2011-07-21,183.59,185.5,182.9,184.9,4958400
3076,2011-07-20,183.84,184.42,183.0,183.65,5901100
3077,2011-07-19,178.74,185.21,178.65,185.21,13245600
3078,2011-07-18,174.73,176.46,173.58,175.28,8879700
3079,2011-07-15,175.08,175.94,174.07,175.54,5347100
3080,2011-07-14,174.4,176.1,173.84,174.23,4613100
3081,2011-07-13,174.9,176.32,174.0,174.32,4074800
3082,2011-07-12,174.93,175.37,173.89,174.05,5036800
3083,2011-07-11,174.9,176.15,174.61,174.99,4766500
3084,2011-07-08,175.49,176.49,175.01,176.49,4399900
3085,2011-07-07,176.78,177.27,176.12,176.48,5905600
3086,2011-07-06,175.19,177.77,175.09,177.71,5885900
3087,2011-07-05,173.52,175.4309,173.52,175.43,4586500
3088,2011-07-01,171.61,174.65,171.49,174.54,5181700
3089,2011-06-30,171.11,172.4468,170.75,171.55,5105200
